"model","treatment","t","Area","Est","source","value"
"Tree_growth","CF",-50,"Area.1","Exp","S_forest",0.44062332063149
"Tree_growth","CF",-49,"Area.1","Exp","S_forest",0.639478498394398
"Tree_growth","CF",-48,"Area.1","Exp","S_forest",0.924453140530106
"Tree_growth","CF",-47,"Area.1","Exp","S_forest",1.32895927269841
"Tree_growth","CF",-46,"Area.1","Exp","S_forest",1.895365362741
"Tree_growth","CF",-45,"Area.1","Exp","S_forest",2.67339697032473
"Tree_growth","CF",-44,"Area.1","Exp","S_forest",3.71409186418215
"Tree_growth","CF",-43,"Area.1","Exp","S_forest",5.05695350084791
"Tree_growth","CF",-42,"Area.1","Exp","S_forest",6.70996382136812
"Tree_growth","CF",-41,"Area.1","Exp","S_forest",8.62791172154472
"Tree_growth","CF",-40,"Area.1","Exp","S_forest",10.7024097450167
"Tree_growth","CF",-39,"Area.1","Exp","S_forest",12.7784740040329
"Tree_growth","CF",-38,"Area.1","Exp","S_forest",14.6980352519891
"Tree_growth","CF",-37,"Area.1","Exp","S_forest",16.3476115504972
"Tree_growth","CF",-36,"Area.1","Exp","S_forest",17.6815010019498
"Tree_growth","CF",-35,"Area.1","Exp","S_forest",18.7127825457196
"Tree_growth","CF",-34,"Area.1","Exp","S_forest",19.4875771675534
"Tree_growth","CF",-33,"Area.1","Exp","S_forest",20.0611813966177
"Tree_growth","CF",-32,"Area.1","Exp","S_forest",20.4840965523294
"Tree_growth","CF",-31,"Area.1","Exp","S_forest",20.7968726739765
"Tree_growth","CF",-30,"Area.1","Exp","S_forest",21.0299173807454
"Tree_growth","CF",-29,"Area.1","Exp","S_forest",21.2052306474209
"Tree_growth","CF",-28,"Area.1","Exp","S_forest",21.3384681737958
"Tree_growth","CF",-27,"Area.1","Exp","S_forest",21.440717365505
"Tree_growth","CF",-26,"Area.1","Exp","S_forest",21.5198487517713
"Tree_growth","CF",-25,"Area.1","Exp","S_forest",21.5814863812821
"Tree_growth","CF",-24,"Area.1","Exp","S_forest",21.6296854325983
"Tree_growth","CF",-23,"Area.1","Exp","S_forest",21.6673998274329
"Tree_growth","CF",-22,"Area.1","Exp","S_forest",21.6968041252511
"Tree_growth","CF",-21,"Area.1","Exp","S_forest",21.7195157938328
"Tree_growth","CF",-20,"Area.1","Exp","S_forest",21.7367496844279
"Tree_growth","CF",-19,"Area.1","Exp","S_forest",21.7494263060718
"Tree_growth","CF",-18,"Area.1","Exp","S_forest",21.7582484550747
"Tree_growth","CF",-17,"Area.1","Exp","S_forest",21.7637560111073
"Tree_growth","CF",-16,"Area.1","Exp","S_forest",21.7663655391654
"Tree_growth","CF",-15,"Area.1","Exp","S_forest",21.7663992186405
"Tree_growth","CF",-14,"Area.1","Exp","S_forest",21.7641062024016
"Tree_growth","CF",-13,"Area.1","Exp","S_forest",21.7596785538374
"Tree_growth","CF",-12,"Area.1","Exp","S_forest",21.7532632622802
"Tree_growth","CF",-11,"Area.1","Exp","S_forest",21.7449713946406
"Tree_growth","CF",-10,"Area.1","Exp","S_forest",21.7348851359701
"Tree_growth","CF",-9,"Area.1","Exp","S_forest",21.7230632594888
"Tree_growth","CF",-8,"Area.1","Exp","S_forest",21.7095454177483
"Tree_growth","CF",-7,"Area.1","Exp","S_forest",21.6943555412403
"Tree_growth","CF",-6,"Area.1","Exp","S_forest",21.6775045555546
"Tree_growth","CF",-5,"Area.1","Exp","S_forest",21.6589925740449
"Tree_growth","CF",-4,"Area.1","Exp","S_forest",21.6388106836695
"Tree_growth","CF",-3,"Area.1","Exp","S_forest",21.616942412923
"Tree_growth","CF",-2,"Area.1","Exp","S_forest",21.5933649495809
"Tree_growth","CF",-1,"Area.1","Exp","S_forest",21.5680501602272
